,word,lema,animacy,gender,finale,n_syll,preposition,context
83,магазине,магазин,inan,masc,н,3,в,"Вот возьму в магазине , думаю , вот я поем , вчера думаю , я это в"
84,томате,томат,inan,masc,т,2,в,"Вот возьму в магазине , думаю , вот я поем , вчера думаю , я это в"
85,государстве,государство,inan,neut,в,3,на,Всё на государстве на столе есть
86,столе,стол,inan,masc,л,1,на,Всё на государстве на столе есть
87,июне,июнь,inan,masc,н',2,в,"У нас хорошо , муку давают , да , по мешку вот нонече не так давно брали вот , весной - то вот , в мае ли в июне"
88,Союзе,союз,inan,masc,з,2,в,"всё думаешь будет , все живём в Советском Союзе , а вот права почему - то не"
89,море,море,inan,neut,р',1,в,"Коленька служил , ишь - ко в море ходил"
90,море,море,inan,neut,р',1,в,"ой , мы переживали , думаем , ой , наш парень там ишь - ко в море уйдёт , дак ведь ох [ ]"
91,судне,судно,inan,neut,н,1,на,как на судне - то дак
92,буксире,буксир,inan,masc,р,2,на,"Но а третий вот теперь на буксире ходит : Ленинград , Кронштадт"
93,Вадюге,вадюг,inan,masc,г,2,на,своя этто у нас пожарная машина не оказалась на Вадюге
94,наволоке,наволок,inan,masc,к,3,на,"под горой в бане , кто на наволоке"
95,месте,место,inan,neut,т,1,в,"в этом месте - то , у нас была там избушка тоже не сгорела , крайняя была"
96,участке,участок,inan,masc,к,3,на,проводят ещё где далёко на участке да
97,барабане,барабан,inan,masc,н,3,на,на = зимой на барабане стояла ещё
98,дере,дёр,inan,masc,р,1,на,"зерня там те , да перемелешь на дере = то на деревянных жерновах , то каменные были такие вот нашуточные , само"
99,рте,рот,anim,masc,т,1,во,никакая во рте не надо
100,сплаве,сплав,inan,masc,в,1,на,"Всё , ой было всё у меня отваливано , и наваливано , и рублено , и всё делано , и на сплаве хожено , и всё на свете делано"
101,Вадюге,вадюг,inan,masc,г,2,в,скотный - то двор вот стоит у нас в Вадюге речке
102,Вадюге,вадюг,inan,masc,г,2,в,В речке Вадюге тут стоит скотный
103,августе,август,inan,masc,т,2,в,"Придёт и , задёржан дак , и в августе - то вот придет"
104,буксире,буксир,inan,masc,р,2,на,он на буксире ходит
105,выле,выл,inan,masc,л,1,в,"свадьба ишь - ко , и они сидят в Тойме , выле = вылету никакого нету самолёта , как хошь"
106,автобусе,автобус,inan,masc,с,3,на,боле за ними на автобусе
107,коридоре,коридор,inan,masc,р,3,на,Ну на коридоре - то
108,истоке,исток,inan,masc,к,2,в,я вот там в
109,дворе,двор,inan,masc,р,1,на,"Да нет , хоть нет , то детей - то , то ещё нет , да а на скотном дворе было много очень крыс - то"
110,дворе,двор,inan,masc,р,1,на,"а тоже кошки там всё живут , да сейчас и на скотном дворе редко бегают , говорят"
111,озере,озеро,inan,neut,р,2,на,"А я не знаю , у мужиков тоже на [ ] там"
112,озере,озеро,inan,neut,р,2,в,а опять карасиков ловят тут в озере
113,дворе,двор,inan,masc,р,1,на,Он проверял на скотном дворе это от пожара
114,дворе,двор,inan,masc,р,1,на,там проверял на скотном дворе
115,участке,участок,inan,masc,к,3,на,"Да , нам совхоз давает на участке"
116,июне,июнь,inan,masc,н',2,в,"в июне - то поспеет тоже , что морошка так же"
117,июле,июль,inan,masc,л',2,в,"Да , в июле - то , в июле"
118,июле,июль,inan,masc,л',2,в,"Да , в июле - то , в июле"
119,поле,поле,inan,neut,л',1,в,"А рябина только ещё в поле - то , чёрная смородина , красная смородина"
120,поле,поле,inan,neut,л',1,в,"то вот в поле - то , в поле - то малина"
121,поле,поле,inan,neut,л',1,в,"то вот в поле - то , в поле - то малина"
122,банке,банк,inan,masc,к,1,в,"Да - а , вот у нас тут прошлогодняя вот есть , я сварила , в чашке , ак уж а тама в банке в пятилитровой ещё много"
123,чердаке,чердак,inan,masc,к,2,на,"неохота идти - то , на чердаке , наверно , у меня там"
124,поле,поле,inan,neut,л',1,в,"вот так , ак вот как уедешь в поле так на обеде - то"
125,обеде,обед,inan,masc,д,2,на,"вот так , ак вот как уедешь в поле так на обеде - то"
126,шифоньере,шифоньер,inan,masc,р,3,на,Гармошка тут вот на шифоньере есть они
127,магазине,магазин,inan,masc,н,3,в,"И всё - то ему не годно , все - то ему не ладно да , кажется , изобидели , да ему всё ругать - то - ничего не хватило , бедного всё в магазине так всего изобидели"
128,дворе,двор,inan,masc,р,1,на,"А вот так : я пошла , жнутики у нас ушли рано а , а я навоз возила на скотном дворе , дак этто"
129,колхозе,колхоз,inan,masc,з,2,в,"Ну да он сегодня так же , как в колхозе , будет некошено дак"
130,участке,участок,inan,masc,к,3,на,"Там вот вот на участке - токосят на подкормку - то , поедут"
131,участке,участок,inan,masc,к,3,на,"на участке - то и покошено , видко , видно там и косят"
132,Присаде,присад,inan,masc,д,2,на,"Там , он говорит , они на Присаде сегодня что - то делали , там дородно , говорит , Присады"
