,word,lema,animacy,gender,finale,n_syll,preposition,context
22,зале,зал,inan,masc,л,1,в,"и там меня в зале , там оно ( ино ) , а она мне всё вяжет , люди , есть же вот такие люди ,"
23,огороде,огород,inan,masc,д,3,на,"у нас на огороде , вот мы поремся , там по хозяйству , всё"
24,кладбище,кладбище,inan,neut,щ',2,на,какой - то памятник там стоит постороний у нас на кладбище там
25,феврале,февраль,inan,masc,л',2,в,Это ж было уже сколько лет ? Это мне уже шестьдесят лет будет в феврале
26,доме,дом,inan,masc,м,1,в,Вот такие дела . Как вы там ( тама ) в нашем доме ? Номально ? Ну ладненько
27,уровне,уровень,inan,masc,н',3,на,"Вот на уровне кровати привязывали , кровати ж были большие железные"
28,столе,стол,inan,masc,л,1,на,"На столе , этот ( этый ) , с ко = , с кута отставила стол , мне три раза проводила по этому"
29,декабре,декабрь,inan,masc,р',2,в,"Дак это уже , знать , в декабре , наверно , я родила её"
30,месте,место,inan,neut,т,1,на,Так что я живу на святом месте
31,чугуне,чугун,inan,masc,н,2,в,"А я ему не сказала , что остальную , в чугуне это варилось , да"
32,доме,дом,inan,masc,м,1,в,"А в доме , ну хоть бы тебе ( табе ) литра воды"
33,озере,озеро,inan,neut,р,2,в,"Погиб . В озере в этом , [ утопнул ]"
34,возрасте,возраст,inan,masc,т,2,в,"Кто в таком , моем возрасте"
35,магазине,магазин,inan,masc,н,3,в,"Хоть они и были в магазине , дык куплять не за что было"
36,тракторе,трактор,inan,masc,р,2,на,"Бывает и так , без ничего , ну он все время на тракторе работал"
37,тракторе,трактор,inan,masc,р,2,на,"На тракторе протрава , лен сеяли"
38,хозяйстве,хозяйство,inan,neut,в,2,в,"В своем хозяйстве сам не уберешь , значит не будет"
39,колхозе,колхоз,inan,masc,з,2,в,"Каждый сам знает , ну в колхозе"
40,кладбище,кладбище,inan,neut,щ',2,на,"Ну а сейчас , также родители , может , на этом кладбище мои родители"
41,кладбище,кладбище,inan,neut,щ',2,на,Не посидеть на кладбище с родителями
42,кладбище,кладбище,inan,neut,щ',2,на,"Я , примерно , к батюшке обратилась , когда можно ходить на кладбище , когда есть время"
43,кладбище,кладбище,inan,neut,щ',2,на,"Ну когда уже низко солнце , не надо быть на кладбище"
44,кладбище,кладбище,inan,neut,щ',2,на,Даже на нашем кладбище большая разница
45,кладбище,кладбище,inan,neut,щ',2,на,делают . Никакого обеда на кладбище не надо
46,доме,дом,inan,masc,м,1,в,"И родители , и гости были в твоём доме"
47,конце,конец,inan,masc,ц,2,в,А потом в конце всех блюд
48,клубе,клуб,inan,masc,б,1,в,Ну а кино идёт в клубе
49,банке,банк,inan,masc,к,1,в,Восемьсот восемдесят я в государственном банке расписалась
50,банке,банк,inan,masc,к,1,в,Я в государственном банке расписалась
51,загоне,загон,inan,masc,н,2,в,Дак тоже в загоне ско = были эти ( этыя ) свиньи
52,сарае,сарай,inan,masc,й,2,в,"Летом , зимой дак в сарае ж всё , а летом"
53,рассоле,рассол,inan,masc,л,2,в,В том в рассоле
54,пороге,порог,inan,masc,г,2,на,"Я в ха = , в сенцы , а он ( ён ) на пороге , гром ( грём ) стукает , он : ай"
55,колхозе,колхоз,inan,masc,з,2,в,"А ничто , а ничто лучше не делать . У нас град был . На Вшествие , поехали в колхозе"
56,апреле,апрель,inan,masc,л',2,в,"Это ж , о , теперь же , как ( як ) дурные сеют , знать , в мае ти в апреле бульбу эту"
57,колхозе,колхоз,inan,masc,з,2,в,"Тогда ( тады ) уже ( ужо ) каждый год не , не работали в колхозе"
58,огороде,огород,inan,masc,д,3,на,"Ну поехали перв = , ну , может , сеяли уже кто , на огороде , раньше ж огородов дуже не было"
59,колхозе,колхоз,inan,masc,з,2,в,Не работали в колхозе тогда ( тады )
60,отдыхе,отдых,inan,masc,х,2,на,"А немцы , отдыхали тут , видать , как на отдыхе были"
61,месте,место,inan,neut,т,1,на,"Здесь , здесь , на этом месте вот"
62,месте,место,inan,neut,т,1,на,На этом месте я родился
63,языке,язык,inan,masc,к,2,в,"Где ( иде ) б я договорился , в другом языке ( языку )"
64,деле,дело,inan,neut,л,1,на,На самом деле
65,фронте,фронт,inan,masc,т,1,на,"Батька на фронте погиб , ну , соседи , попросишь кого"
66,базаре,базар,inan,masc,р,2,на,На базаре покупали
67,деле,дело,inan,neut,л,1,на,"На самом деле , я частенько говорю"
68,сарае,сарай,inan,masc,й,2,в,"И наши пришли , в ровках где сидели , кто где в сарае , кто где"
69,поле,поле,inan,neut,л',1,на,Уже картошка была не копаная ( капаная ) гречиха на поле была не убрана ( убираная )
70,колхозе,колхоз,inan,masc,з,2,в,Ни скоту не было в колхозе
71,колхозе,колхоз,inan,masc,з,2,в,"Ну , в колхозе начали сеять чи зерно"
72,госпитале,госпиталь,inan,masc,л',3,в,"В госпитале же помер , значит , есть , был захоронен ( захоронет )"
73,кладбище,кладбище,inan,neut,щ',2,на,"И ездит , она когда на девятое , она всегда ездит туда , на кладбище"
74,колхозе,колхоз,inan,masc,з,2,в,Где работал ? В колхозе
75,колхозе,колхоз,inan,masc,з,2,в,В колхозе дадут и всё
76,производстве,производство,inan,neut,в,3,на,"На производстве , на заводе , на заводе на каком ( яком ) работали"
77,заводе,завод,inan,masc,д,2,на,"На производстве , на заводе , на заводе на каком ( яком ) работали"
78,заводе,завод,inan,masc,д,2,на,"На производстве , на заводе , на заводе на каком ( яком ) работали"
79,ресторане,ресторан,inan,masc,н,3,в,"в ресторане там , что они делают , как ( як ) они их играют , те ( тэя ) свадьбы"
80,каравае,каравай,inan,masc,й,3,на,"И грибы там , и ягоды на этом , на каравае были"
81,бурьяне,бурьян,inan,masc,н,2,в,"Когда хочешь , заблудишь там во рву , в бурьяне в этом"
82,доме,дом,inan,masc,м,1,в,"В доме настилали . На улице , э - э , это , деревья ломали , май звали"
83,кладбище,кладбище,inan,neut,щ',2,на,"На Радуницу ходили на кладбище . На Пасху , только ходили вечером , э - э , несут яичек"
84,поле,поле,inan,neut,л',1,на,"поехал за папкой на поле , прессовать сено . И в пресс попал . Как ( як ) он там , не знаю"
85,кладбище,кладбище,inan,neut,щ',2,на,И она ходила каждый день на кладбище
86,кладбище,кладбище,inan,neut,щ',2,на,А обычно ходят на Пасху вечером и на Радуницу днем на кладбище
87,апреле,апрель,inan,masc,л',2,в,"Мне было два месяца всего , в"
