Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
37;году;год;inan;masc;д;1;в;ну да , в , в этом , в восемьдесят девятом году
38;лесу;лес;inan;masc;с;1;в;А старик был в лесу
39;мешку;мешок;inan;masc;к;2;в;На машине вёз в мешку
40;лесу;лес;inan;masc;с;1;в;И укусила в лесу змея , а он , зять был в рейсе
41;лесу;лес;inan;masc;с;1;в;Ну её , там был сосед в лесу
42;краю;край;inan;masc;й;1;на;потом свяжет его , положит на краю
45;посёлку;посёлок;inan;masc;к;3;на;И они остались тоже на посёлку , одна хата осталась , никого не было , дак они ( яны ) одни остались
46;лесу;лес;inan;masc;с;1;в;А я . Я бою = И кукушки , они кукуют . Ой , ну куда ( куды ) им тут ( тута ) в лесу куковать . И соловей поёт ( пяеть )
47;лесу;лес;inan;masc;с;1;в;Да в лесу всегда можно заблудиться
48;лесу;лес;inan;masc;с;1;в;У нас там ёжики в лесу
49;лесу;лес;inan;masc;с;1;в;В лесу , во дво = , э - э
53;кабану;кабан;anim;masc;н;2;на;Ну , к = чтоб кабан этот ( этый ) , он ( ён ) ж на сало , сало на кабану растёт
54;столбу;столб;inan;masc;б;1;на;Вот там вон , поглядите , на столбу
55;году;год;inan;masc;д;1;в;Ну , ходят от клуба трошку . В прошлом году не ходили . А в позапрошлом году
56;году;год;inan;masc;д;1;в;Ну , ходят от клуба трошку . В прошлом году не ходили . А в позапрошлом году
57;году;год;inan;masc;д;1;в;нынче то есть не ходили , а в прошлом году от клуба холо = ходили молодежь , деву =
59;году;год;inan;masc;д;1;в;Этот ( этый ) , ну в тридцать девятом году , мы ж были все на по = , этот ( этый ) , на поселку , на Жиравково , маткина хата была , маткина
60;поселку;посёлок;inan;masc;к;3;на;Этот ( этый ) , ну в тридцать девятом году , мы ж были все на по = , этот ( этый ) , на поселку , на Жиравково , маткина хата была , маткина
61;году;год;inan;masc;д;1;в;Ну , тогда ( тады ) в тридцать девятом году , раньше ж посёлки , посёлки были
62;лесу;лес;inan;masc;с;1;в;Не в лесе , мы ж не в лесу жили , мы ж жили на взгорке ( взгорку ) такое , ну
63;взгорку;взгорок;inan;masc;к;2;на;Не в лесе , мы ж не в лесу жили , мы ж жили на взгорке ( взгорку ) такое , ну
