Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
56;прилавке;прилавок;inan;masc;к;3;на;Свой есть - сиди на нём , на своём прилавке
57;конике;коник;inan;masc;к;2;на;На полу там , на конике , где стелят этот войлок
58;магазине;магазин;inan;masc;н;3;в;Да . Тогда не было . Это вот в магазине их сейчас продают
59;выезде;выезд;inan;masc;д;2;на;У него у среднего , Сере . . . у Сережки - вот Мечёк Большой , тут прям , на выезде дом . Дача у него там
60;лагере;лагер;inan;masc;р;2;в;Она в лагере отбыла , а у нее другая девочка , вот она , эта приехала - она энту проводила . На второй поток она энту проводила
61;столе;стол;inan;masc;л;1;на;Я встала , пошла , встала , глянула - на столе батон лежит
62;совхозе;совхоз;inan;masc;з;2;в;Прям сахар , ну вот свёкла , свёкла , сахарная , аж бывало , у нас в совхозе чистишь , ну в колхозе , попанется прям аж кремовая есть
63;колхозе;колхоз;inan;masc;з;2;в;Прям сахар , ну вот свёкла , свёкла , сахарная , аж бывало , у нас в совхозе чистишь , ну в колхозе , попанется прям аж кремовая есть
64;выщенике;выщеник;inan;masc;к;3;в;А это , у Клашки тогда в выщенике
65;выщенике;выщеник;inan;masc;к;3;в;Они в выщенике - выщеник , а тут поляна была
67;бугре;бугор;inan;masc;р;2;на;Днём разыграется , вроде жарко , корову когда , это , стерегли - то бывалочи - ка на бугре
68;стенде;стенд;inan;masc;д;1;на;Это фотография передовиков , висела на этом , на стенде
69;селе;село;inan;neut;л;1;в;А у нас , говорит , в селе дурачок был - Володя
70;селе;село;inan;neut;л;1;в;"Тоже хороший человек ! Я говорю , как ? У нас , говорит , дурачок был , говорит , в селе ! "" Ха - ха - ха ! Не стал называть"
71;селе;село;inan;neut;л;1;в;У нас , вот , Игорей не было , вот Игорь , чтобы звали у нас в селе Игорь
72;помине;помин;inan;masc;н;2;в;Смеюсь - у нас сейчас Кузьмой даже и в помине никого не называют , все старые имена . Называют : Максимка , Дениска там
73;возрасте;возраст;inan;masc;т;2;в;Потом это : Степан . У нас таких вот , не было вот раньше вот , как в моем возрасте . Степан - никого , а сейчас Степанов много
74;доме;дом;inan;masc;м;1;в;Ну , может , она в моём доме никому не должна достаться , эта денежка
75;доме;дом;inan;masc;м;1;в;Никто человек в доме счастливого в этом году не будет
76;доме;дом;inan;masc;м;1;в;Вот в этом доме
77;численнике;численник;inan;masc;к;3;в;А родительский день - ну , как - то он у нас в этой , в численнике у нас там написан
78;селе;село;inan;neut;л;1;в;Это в каком - то где - йто ещё , в каждом селе
79;дворе;двор;inan;masc;р;1;на;Одна от . . . открыла дверь , была картошка на дворе
