,Column1,word,lema,animacy,gender,finale,n_syll,preposition,context
274,286,коровнике,коровник,inan,masc,к,3,на,"И он это , тоже работал на коровнике ( - у ) на транспонтёре , вычищал"
275,287,транспонтёре,транспонтёр,anim,masc,р,3,на,"И он это , тоже работал на коровнике ( - у ) на транспонтёре , вычищал"
276,288,колхозе,колхоз,inan,masc,з,2,в,"Там , в колхозе"
277,289,транспонтёре,транспонтёр,anim,masc,р,3,на,Муж . Какой на транспонтёре - то
278,291,водовороте,водоворот,inan,masc,т,4,в,"Вот он там жил , вот в этом водовороте"
279,292,Мечке,мечек,inan,masc,к,1,на,"Ну и , и тут тоже платное , на Мечке"
280,293,пруде,пруд,inan,masc,д,1,в,Да она не вси в нашем пруде туольке же
281,294,апреле,апрель,inan,masc,л',2,в,"Вот сейчас у соседа , у этого у Серёжки , вот какой нам сено привозил , у него лошадь есть . Он в любое время спашет и посадит картошки , вот они продали картошки в апреле"
282,295,курсе,курс,inan,masc,с,1,на,"А Катя : вот буду собирать , буду вот на втором курсе , буду собирать деньги , у Кати тоже права , Катя училась"
283,296,зале,зал,inan,masc,л,1,в,"Она там в зале , она перешла в прихожку , он тут ещё долбить её"
284,297,ноябре,ноябрь,inan,masc,р',2,в,"А дело было в ноябре , холодно"
285,298,совхозе,совхоз,inan,masc,з,2,в,"Мы скорей без него телка , тут телят в совхозе выписывали , ему"
286,299,совхозе,совхоз,inan,masc,з,2,в,Он работал в совхозе
287,300,комитете,комитет,inan,masc,т,3,в,"Ну , и я всё время там и в рабочем комитете была , и звеньевой всё время"
288,301,киоске,киоск,inan,masc,к,2,в,"Это вот этот , в киоске какой , сказал Юрка , говорит : Усманский лес горит"
289,302,киоске,киоск,inan,masc,к,2,в,Он и в киоске работает
290,303,смысле,смысл,inan,masc,л,1,в,Как ? В каком смысле
291,304,месте,место,inan,neut,т,1,на,"И хоронили тут , а на каком месте разбились , и там цветы всегда становит , и памятничек маленький стоит там"
292,305,стекле,стекло,inan,neut,л,1,в,"за Мишкою , и у него ноги получились в этом , в переднем стекле"
293,306,переде,перёд,inan,masc,д,2,на,"Стекло разбилось , и он на переде сидел"
294,307,кладбище,кладбище,inan,neut,щ',2,на,"И вот они на кладбище рядом , ограда , и остались мать с отцом"
295,309,совхозе,совхоз,inan,masc,з,2,в,"Ну , тихо , то бешеные - я в совхозе работала на ферме , там коровы бесились , телушки бесились"
296,310,дворе,двор,inan,masc,р,1,на,"А сказали - полгода чтоб это , на дворе не была"
297,312,дворе,двор,inan,masc,р,1,на,Вышла - она лиса на дворе
298,313,дворе,двор,inan,masc,р,1,на,"и она - то за мной вышла , и она осталась на дворе"
299,314,дворе,двор,inan,masc,р,1,на,А кошка - то осталась на дворе
300,316,дворе,двор,inan,masc,р,1,на,И на другом дворе - курица уж разодратая лежит
301,318,столе,стол,inan,masc,л,1,на,"и она - то вышла , было на столе - то они стали это расспрашивать - то"
302,319,Мечке,мечек,inan,masc,к,1,в,"А в Мечке было Воробьёвских триста голов , нетели"
303,320,огороде,огород,inan,masc,д,3,на,"Ну , глядь , приезжает , мы на огороде картошки пололи"
304,321,пригороде,пригород,inan,masc,д,3,в,"Куда вот я их ? Собрала , если б я была в пригороде , я б их на рынок отнесла , денежку взяла"
305,322,рынке,рынок,inan,masc,к,2,на,"А если я на рынке была , они по двадцать"
306,323,ведре,ведро,inan,neut,р,1,в,"Пусть там шесть килограмм было в ведре , это прям точно"
307,324,городе,город,inan,masc,д,2,в,"Все в городе , все сюда приезжали"
308,325,доме,дом,inan,masc,м,1,в,"Вот какая жизнь была , я говорю , слова богу , что сейчас хоть нам газ при старости лет провели , вода в доме . ."
309,326,октябре,октябрь,inan,masc,р',2,в,"Он говорит , он еще сказал : отёл будет в октябре или в сентябре , а она отелилась в августе"
310,327,сентябре,сентябрь,inan,masc,р',2,в,"Он говорит , он еще сказал : отёл будет в октябре или в сентябре , а она отелилась в августе"
311,328,августе,август,inan,masc,т,2,в,"Он говорит , он еще сказал : отёл будет в октябре или в сентябре , а она отелилась в августе"
312,329,курсе,курс,inan,masc,с,1,на,"Катя говорит , буду учиться , вот на втором курсе"
313,330,классе,класс,inan,masc,с,1,в,"В одиннадцатом классе училась , и - в Хлевном у нас учат на шоферов"
314,331,декабре,декабрь,inan,masc,р',2,в,"вот пять лет она отучилась - она еще в школу ходила , и Надя в декабре купила"
315,332,классе,класс,inan,masc,с,1,в,Она в одиннадцатом классе была
316,333,доме,дом,inan,masc,м,1,в,"в этом доме на четвёртом этаже , а комната на третьем"
317,334,этаже,этаж,inan,masc,ж,2,на,"в этом доме на четвёртом этаже , а комната на третьем"
318,335,потолке,потолок,inan,masc,к,3,на,"Дорожки наткала , вон где - то на потолке висят"
319,336,Данциге,данциг,inan,masc,г,2,в,"Тридцатого марта , в Данциге"
320,337,классе,класс,inan,masc,с,1,в,"Я в четвёртом классе ходила , мне было тринадцать лет"
321,338,госбанке,госбанк,inan,masc,к,2,в,"А мы жили в Хлевном , папака работал в госбанке"
322,339,месте,место,inan,neut,т,1,на,Это вот мы дом построили на родительском месте
323,340,домике,домик,inan,masc,к,2,в,"А этот вот так и он стоял , этот , в каком домике мы жили"
324,341,сундуке,сундук,inan,masc,к,2,на,"И они спали на сундуке , ребята"
325,342,доме,дом,inan,masc,м,1,в,в доме холодища
326,343,Коне,конь,inan,masc,н',1,в,"В Коне ее не приняли , приняли кандидатом"
327,344,пузырьке,пузырёк,inan,masc,к,3,в,"и на полу упал и умер , нитроглицерин остался в пузырьке не открытый , не управился открыть"
