,word,lema,animacy,gender,finale,n_syll,preposition,context,accent
132,рюкзачке,рюкзачок,inan,masc,к,3,в,"Сейчас в рюкзачке носят , а тогда в мешочек картошку положат , два , и забрали , и пошла",-
133,колодезе,колодезь,inan,masc,з',3,на,"Чуете ? А меня гроза била ! Черпала воду , туча была , большая - большая , а я черпала воду у себя на колодезе . Как гроза вдарила",-
134,стаде,стадо,inan,neut,д,1,в,"Весну - то еще в стаде не ходили , зелень там таяла та - та , корму - то не хватало , скотину выпускали",-
135,колхозе,колхоз,inan,masc,з,2,в,И в колхозе дураки были,-
136,колхозе,колхоз,inan,masc,з,2,в,В колхозе,-
137,ведре,ведро,inan,neut,р,1,в,"И без воды пришли . И потом с водой уже в ведре , она ж разольется , бегом уже так бечь не будешь , воду уже принесешь - пьют , пьют",-
138,сельсовете,сельсовет,inan,masc,т,3,в,В сельсовете будут собирать угол,-
139,поселке,посёлок,inan,masc,к,3,на,"У нас вот на посёлку было , как летом , вот , у нас был мой вот дядя , Денис , он жил на поселке",-
140,повойнике,повойник,inan,masc,к,3,в,"Катерина Владимировна . . Владимировна она была ? Ох , она и в Пеневичах , найдете , она в повойнике на могилке , на кресте",-
141,кресте,крест,inan,masc,т,1,на,"Катерина Владимировна . . Владимировна она была ? Ох , она и в Пеневичах , найдете , она в повойнике на могилке , на кресте",-
142,повойнике,повойник,inan,masc,к,3,в,Так - то ей прямо в повойнике похоронили что ли,-
143,кресте,крест,inan,masc,т,1,на,"Нет , только ей вот на кресте табличка , табличка , и она стоит , и у нее лик вот в повойнике",-
144,повойнике,повойник,inan,masc,к,3,в,"Нет , только ей вот на кресте табличка , табличка , и она стоит , и у нее лик вот в повойнике",-
145,посёлке,посёлок,inan,masc,к,3,на,"И она , значит , уехала , и однажды она приехала , еще на посёлке я жила",-
146,мотоцикле,мотоцикл,inan,masc,л,3,на,"И он пришел , мы его ждали , потом он пришел , они там еще присели за стол , потом у них были машины , нет , они были на мотоцикле",-
147,доме,дом,inan,masc,м,1,в,"Это теперь культура замучила , а тогда бабки зимой соберутся в одном доме штук пять - шесть и просидят до вечера , и разговаривают про своё про всё , кто про что рассказывает , всё , всё , всё , всё",c
148,кладбище,кладбище,inan,neut,щ',2,на,"И так она и жила , жила она у брата в Ермолине , там ей и похоронили , а все просилась на своё кладбище . Еще мне брат , говорит , Марусь , позвоним < нрзбр > , будем хоронить тут",-
149,кладбище,кладбище,inan,neut,щ',2,на,"И похоронили , а там еще лучше , чем у нас . Каждый праздничек - и на кладбище , каждый праздничек , и на кладбище , все время ходили",-
150,кладбище,кладбище,inan,neut,щ',2,на,"И похоронили , а там еще лучше , чем у нас . Каждый праздничек - и на кладбище , каждый праздничек , и на кладбище , все время ходили",-
151,кладбище,кладбище,inan,neut,щ',2,на,"Ну потом у ей сын погиб , рядом ему там взяли , не с ней , на другом кладбище , но все равно они не забывают ей , на кладбище ходят к ей , и я и то на кладбище бываю",-
152,кладбище,кладбище,inan,neut,щ',2,на,"Ну потом у ей сын погиб , рядом ему там взяли , не с ней , на другом кладбище , но все равно они не забывают ей , на кладбище ходят к ей , и я и то на кладбище бываю",-
153,кладбище,кладбище,inan,neut,щ',2,на,"Ну потом у ей сын погиб , рядом ему там взяли , не с ней , на другом кладбище , но все равно они не забывают ей , на кладбище ходят к ей , и я и то на кладбище бываю",-
154,кладбище,кладбище,inan,neut,щ',2,на,"На Пасху , на саму , праздник у нас большой , мы ходим на кладбище",-
155,Есинке,есинк,anim,masc,к,2,на,"И они там по той дороге . . . А жили одна на Кулиге , две на Кулиге и одна на Есинке , во называлась наша эта улица вот там за магазином",-
156,феврале,февраль,inan,masc,л',2,в,"Ну до этой , до февраля месяца . . . до февраля месяца она доскрипела , и в феврале она у меня померла",-
157,тракторе,трактор,inan,masc,р,2,на,"Так что два , - говорю , - таких - то лба на одном тракторе работают . Пусть они , разделите их . И вот всё",-
158,погрузчике,погрузчик,anim,masc,к,3,на,"И он на этом , на погрузчике , и он всё в сапогах",-
159,колхозе,колхоз,inan,masc,з,2,в,"И мне за счёт она не нужна , я в колхозе брать не буду",-
160,колхозе,колхоз,inan,masc,з,2,в,"Что вот нагрузишь , зайди , там запишут и в колхозе мне должны отдать , как это , осень начинается",-
161,тамбуре,тамбур,inan,masc,р,2,на,"Тогда уже вешаю замок на своём тамбуре , чтоб никто не брал , никто не воровал",-
162,доме,дом,inan,masc,м,1,в,"Не то что нищая , дети сделали в доме , пусть некрасиво , ну как . .",c
163,классе,класс,inan,masc,с,1,в,"Да я б сказала , девчата , еще девчонка моя была , может , в шестом классе или так - то , маленькая она еще была совсем да",-
164,классе,класс,inan,masc,с,1,в,"Не знаю , в каком она классе была , молоденькая , самая большая была у меня девочка",-
165,,отправить ,perf,tran, ,3,в,И меня в Калугу  отправили  на <вертолете,-
166,желудке,желудок,inan,masc,к,3,в,"Бросаю я детей и , а одёжа - что на коже , а кишки - что в желудке",-
167,начале,начало,inan,neut,л,2,в,"Она меня отвела , привела меня к бабке , это у бабки я была где - то , поколе туда - сюда , ну в полночь я саму пошла , где - то в начале пятого была у бабки у этой",-
168,Подбуже,подбуж,inan,masc,ж,2,в,"И ее задело , и она думала , что чи в Подбуж выписалась , в Подбуже в больнице она умерла , и схоронила я , и все",-
169,коридоре,коридор,inan,masc,р,3,в,"Поставила в коридоре , вышли , закрыли , больше мы уж в хату не занесли , всё",-
170,автобусе,автобус,inan,masc,с,3,на,"Вот тебе , а ездили крестить , на автобусе , поглядели на людях",-
171,кладбище,кладбище,inan,neut,щ',2,на,"И похороненый , он просился на кладбище , похоронили коло церкви , не разрешили , и все",-
172,кладбище,кладбище,inan,neut,щ',2,на,"Строил сам храм , а и он и говорил : "" Церкву , какая жизнь будет , разрушат , будешь под камнями валяться , а на кладбище , где все """,-
173,местечке,местечко,inan,neut,к,2,в,"Куда - нибудь льют , а где - нибудь , где собаки не бегают , в чистом местечке где - то в одном , все время так - то старались все в одно местушко выливать от детей",-
174,сраке,срак,anim,masc,к,1,в,И всё за ним в сраке < за ним и > ходили,-
175,доме,дом,inan,masc,м,1,в,"Пляс , скок стоит , там . О - ох , там скок в доме стоит . Это скачут , значит",c
176,дворе,двор,inan,masc,р,1,на,"Скот это ж - на дворе скот , скотина",-
177,пироге,пирог,inan,masc,г,2,в,"А в пироге да , в пироге есть слой . Слоёное тесто",-
178,пироге,пирог,inan,masc,г,2,в,"А в пироге да , в пироге есть слой . Слоёное тесто",-
179,доме,дом,inan,masc,м,1,в,"В доме ссора . Завелась , говорят , в доме ссора , вот сегодня бранятся , завтра бранятся , там , в семье , началась , говорят , завелась ссора",c
180,доме,дом,inan,masc,м,1,в,"В доме ссора . Завелась , говорят , в доме ссора , вот сегодня бранятся , завтра бранятся , там , в семье , началась , говорят , завелась ссора",c
181,доме,дом,inan,masc,м,1,в,"Ну сор это как , в доме не подметёно . Сор . И он и называется сор",c
182,деле,дело,inan,neut,л,1,в,"На них напали , а мы идём мимо , ну , вы думали небось , что я там ненормальная была на стогу , а теперь и ба . . . В самом деле , говорит , думали",-
183,столе,стол,inan,masc,л,1,на,"Или убери со стола , ужо там на столе там есть , всё . Убери со стола",-
184,столе,стол,inan,masc,л,1,на,"На столе что - то там лежит . Да вон на столе , возьми",-
185,столе,стол,inan,masc,л,1,на,"На столе что - то там лежит . Да вон на столе , возьми",-
186,доме,дом,inan,masc,м,1,на,"В субботу были на доме , помогали ей все",c
187,бревне,бревно,inan,neut,н,1,на,"Вот это , вот на этой самой бревне вот , ставятся стропила",-
188,доме,дом,inan,masc,м,1,в,"Помню , как крыли , крыли снопами . Помню вот эти , вот в том доме крыли , вот что как идём в мимо , то этой вот осокою вот этой во",c
189,князе,князь,anim,masc,з',1,на,На князе,-
190,посёлке,посёлок,inan,masc,к,3,на,"У меня это на посёлке у нас было , щепою дом крыли мы",-
191,посёлке,посёлок,inan,masc,к,3,на,"Да , у нас , у нас была хата дома , на посёлке это ужо",-
192,посёлке,посёлок,inan,masc,к,3,на,"После войны была соломой , потом мы покрыли на посёлке под щепу",-
193,дереве,дерево,inan,neut,в,2,на,"Ну , ветки , знаешь , и только так - то говорили у нас ещё : а на плохом дереве и суки не растут",-
194,дереве,дерево,inan,neut,в,2,на,"Да , сук , на дереве суки ещё есть",-
195,дереве,дерево,inan,neut,в,2,на,На плохом дереве и суки не растут,-
196,дереве,дерево,inan,neut,в,2,на,"Это если какой плохой человек , и что - йто у него не ведется там ничего , а на плохом дереве и суки не растут",-
197,укропе,укроп,inan,masc,п,2,на,"Укроп ужо , на укропе ужо зонтики появились",-
198,стульце,стулец,anim,masc,ц,2,на,"Вот , а тут под задницу , подстрыганая , сидит , она лёгонькая , сухонькая , а стоят на стульце они",-
199,потолке,потолок,inan,masc,к,3,на,"Там есть , а это у меня своя на потолке",-
200,сборе,сбор,inan,masc,р,1,в,"Прялка есть , стоит , полностью в сборе",-
201,сборе,сбор,inan,masc,р,1,в,"Прялка в этой , полностью в этой , в сборе , в сборе . Я пряла недавно",-
202,сборе,сбор,inan,masc,р,1,в,"Прялка в этой , полностью в этой , в сборе , в сборе . Я пряла недавно",-
203,рыге,рыг,inan,masc,г,1,на,"Ток . . . на рыге ? Ток , ну это где зерно",-
204,кладбище,кладбище,inan,neut,щ',2,на,А гробы - это несли каждый день на кладбище . Одни за одним . Маленькие,-
205,ребёнке,ребёнок,anim,masc,к,3,при,Сейчас - кто при ребёнке закурит ? Дай закурить ? Кто ? Или пылить ? Теперь . .,-
206,посёлке,посёлок,inan,masc,к,3,на,"И вот мы жили на посёлке , после войны , ох , выли там волки у нас",-
207,лахве,лахв,anim,masc,в,1,в,"Вот , ты как в лахве катаешся",-
208,хребте,хребет,inan,masc,т,2,на,"Ну может , там на хребте что и тащила , и он тягнулся , да и сбросил",-
209,стакане,стакан,inan,masc,н,2,в,"А если , можно , а если лежит оно в какой - нибудь , хоть у ставцу или в стакане , то можно назвать уже в солонке",-
210,кармане,карман,inan,masc,н,2,в,"А потом стой , говорю , у меня ещё в кармане , мы хоть конфеток положим , то ж не удобно , говорю",-
